Date;BUDAPEST
1;168
2;157
3;96
4;163
5;122
6;174
7;153
8;115
9;119
10;114
11;127
12;135
13;116
14;132
15;129
16;113
17;114
18;98
19;140
20;120
21;173
22;135
23;143
24;139
25;155
26;98
27;87
28;110
29;70
30;43
31;37
32;30
33;21
34;22
35;15
36;11
37;7
38;12
39;5
40;17
41;11
42;27
43;23
44;30
45;48
46;37
47;32
48;49
49;67
50;106
51;83
52;114
53;129
54;189
55;79
56;163
57;110
58;158
59;182
60;136
61;207
62;251
63;141
64;193
65;169
66;141
67;193
68;359
69;268
70;168
71;338
72;186
73;266
74;240
75;162
76;264
77;133
78;201
79;236
80;111
81;76
82;52
83;30
84;30
85;74
86;45
87;41
88;20
89;15
90;11
91;10
92;9
93;35
94;20
95;19
96;51
97;53
98;77
99;62
100;93
101;78
102;82
103;84
104;58
105;114
106;145
107;93
108;129
109;114
110;86
111;127
112;106
113;211
114;229
115;145
116;210
117;267
118;166
119;168
120;350
121;224
122;136
123;278
124;161
125;385
126;230
127;284
128;210
129;125
130;104
131;140
132;99
133;35
134;14
135;34
136;7
137;7
138;4
139;4
140;10
141;6
142;6
143;12
144;20
145;14
146;33
147;20
148;25
149;93
150;72
151;54
152;175
153;126
154;60
155;193
156;68
157;183
158;156
159;479
160;143
161;193
162;105
163;136
164;91
165;150
166;82
167;64
168;100
169;95
170;136
171;80
172;122
173;117
174;84
175;133
176;62
177;211
178;143
179;128
180;105
181;140
182;51
183;70
184;46
185;17
186;21
187;51
188;22
189;11
190;3
191;10
192;4
193;3
194;9
195;14
196;12
197;22
198;43
199;27
200;67
201;78
202;61
203;62
204;40
205;98
206;110
207;142
208;53
209;39
210;304
211;300
212;115
213;176
214;176
215;157
216;188
217;128
218;165
219;129
220;197
221;129
222;217
223;109
224;212
225;265
226;149
227;143
228;165
229;198
230;197
231;211
232;177
233;168
234;110
235;65
236;104
237;85
238;54
239;18
240;16
241;14
242;7
243;27
244;16
245;11
246;2
247;4
248;7
249;15
250;30
251;31
252;25
253;50
254;37
255;59
256;58
257;42
258;91
259;86
260;41
261;47
262;166
263;113
264;62
265;82
266;56
267;46
268;48
269;124
270;74
271;116
272;120
273;101
274;121
275;160
276;199
277;147
278;130
279;175
280;156
281;185
282;123
283;151
284;150
285;169
286;154
287;68
288;93
289;74
290;56
291;35
292;24
293;11
294;35
295;11
296;22
297;8
298;5
299;23
300;27
301;33
302;74
303;57
304;95
305;73
306;171
307;206
308;144
309;155
310;191
311;125
312;157
313;121
314;59
315;333
316;145
317;208
318;174
319;128
320;190
321;228
322;149
323;181
324;131
325;227
326;158
327;168
328;181
329;138
330;129
331;161
332;121
333;128
334;150
335;146
336;115
337;120
338;140
339;73
340;91
341;71
342;61
343;19
344;16
345;11
346;17
347;14
348;13
349;22
350;42
351;4
352;18
353;6
354;10
355;60
356;103
357;31
358;103
359;44
360;91
361;83
362;111
363;91
364;163
365;28
366;106
367;291
368;185
369;197
370;147
371;192
372;190
373;147
374;131
375;149
376;99
377;233
378;146
379;182
380;68
381;180
382;142
383;80
384;194
385;286
386;129
387;93
388;199
389;120
390;151
391;88
392;87
393;67
394;52
395;65
396;6
397;64
398;18
399;3
400;0
401;13
402;9
403;4
404;8
405;12
406;13
407;31
408;35
409;8
410;73
411;77
412;21
413;104
414;105
415;92
416;192
417;2
418;67
419;283
420;135
421;129
422;203
423;152
424;107
425;185
426;110
427;138
428;100
429;228
430;130
431;137
432;235
433;138
434;166
435;122
436;149
437;124
438;187
439;195
440;130
441;126
442;154
443;149
444;106
445;151
446;100
447;91
448;46
449;38
450;13
451;22
452;33
453;9
454;14
455;48
456;7
457;18
458;6
459;21
460;30
461;21
462;79
463;64
464;55
465;18
466;101
467;63
468;59
469;6
470;26
471;150
472;80
473;82
474;58
475;84
476;59
477;60
478;116
479;99
480;112
481;197
482;116
483;215
484;82
485;155
486;80
487;13
488;70
489;391
490;178
491;124
492;235
493;88
494;187
495;140
496;111
497;72
498;75
499;44
500;40
501;37
502;10
503;6
504;7
505;5
506;10
507;11
508;16
509;20
510;17
511;21
512;34
513;28
514;44
515;33
516;85
517;16
518;95
519;43
520;35
521;30
522;259
